customer_zip_code_prefix;customer_city;customer_state
24220;niteroi;Rio de Janeiro
90240;porto alegre;Rio Grande do Sul
13520;sao pedro; Sao Paulo
84200;jaguariaiva;Parana
21515;rio de janeiro;Rio de Janeiro
7847;franco da rocha; Sao Paulo
3609;sao paulo; Sao Paulo
72220;brasilia; Distrito Federal
41480;salvador; Bahia
12420;pindamonhangaba; Sao Paulo
84500;irati;Parana
18380;ribeira; Sao Paulo
4455;sao paulo; Sao Paulo
36200;barbacena; Minas Gerais
55700;limoeiro; Pernambuco
76974;espigao do oeste; Rondonia
26155;belford roxo;Rio de Janeiro
12215;sao jose dos campos; Sao Paulo
70770;brasilia; Distrito Federal
35171;coronel fabriciano; Minas Gerais
9960;diadema; Sao Paulo
72331;brasilia; Distrito Federal
72225;brasilia; Distrito Federal
11740;itanhaem; Sao Paulo
74825;goiania; Goias
14709;bebedouro; Sao Paulo
13465;americana; Sao Paulo
41308;salvador; Bahia
36500;uba; Minas Gerais
86700;arapongas;Parana
13287;vinhedo; Sao Paulo
88304;itajai; Santa Catarina
79823;dourados; Mato Grosso do Sul
17033;bauru; Sao Paulo
14850;pradopolis; Sao Paulo
5171;sao paulo; Sao Paulo
78325;aripuana; Mato Grosso
12900;braganca paulista; Sao Paulo
4374;sao paulo; Sao Paulo
45840;guaratinga; Bahia
4190;sao paulo; Sao Paulo
79904;ponta pora; Mato Grosso do Sul
16011;aracatuba; Sao Paulo
27265;volta redonda;Rio de Janeiro
87025;maringa;Parana
7197;guarulhos; Sao Paulo
1527;sao paulo; Sao Paulo
4845;sao paulo; Sao Paulo
14802;araraquara; Sao Paulo
35367;matipo; Minas Gerais
24230;niteroi;Rio de Janeiro
36205;barbacena; Minas Gerais
91130;porto alegre;Rio Grande do Sul
95500;santo antonio da patrulha;Rio Grande do Sul
1230;sao paulo; Sao Paulo
91760;porto alegre;Rio Grande do Sul
27351;barra mansa;Rio de Janeiro
60181;fortaleza; Ceara
39100;diamantina; Minas Gerais
71505;brasilia; Distrito Federal
87050;maringa;Parana
41720;salvador; Bahia
4003;sao paulo; Sao Paulo
27913;macae;Rio de Janeiro
5792;sao paulo; Sao Paulo
18120;mairinque; Sao Paulo
31615;belo horizonte; Minas Gerais
85790;capitao leonidas marques;Parana
20735;rio de janeiro;Rio de Janeiro
37950;sao sebastiao do paraiso; Minas Gerais
22240;rio de janeiro;Rio de Janeiro
25645;petropolis;Rio de Janeiro
2802;sao paulo; Sao Paulo
4744;sao paulo; Sao Paulo
3704;sao paulo; Sao Paulo
13416;piracicaba; Sao Paulo
26115;belford roxo;Rio de Janeiro
73035;brasilia; Distrito Federal
74580;goiania; Goias
97590;rosario do sul;Rio Grande do Sul
23820;itaguai;Rio de Janeiro
3579;sao paulo; Sao Paulo
11420;guaruja; Sao Paulo
35774;paraopeba; Minas Gerais
9271;santo andre; Sao Paulo
13041;campinas; Sao Paulo
1321;sao paulo; Sao Paulo
20240;rio de janeiro;Rio de Janeiro
31555;belo horizonte; Minas Gerais
85012;guarapuava;Parana
39885;crisolita; Minas Gerais
27175;pirai;Rio de Janeiro
57062;maceio; Alagoas
29903;linhares; Espirito Santo
17120;agudos; Sao Paulo
2435;sao paulo; Sao Paulo
4116;sao paulo; Sao Paulo
21010;rio de janeiro;Rio de Janeiro
25545;sao joao de meriti;Rio de Janeiro
3105;sao paulo; Sao Paulo
21616;rio de janeiro;Rio de Janeiro
88370;navegantes; Santa Catarina
13641;pirassununga; Sao Paulo
9686;sao bernardo do campo; Sao Paulo
89694;faxinal dos guedes; Santa Catarina
7251;guarulhos; Sao Paulo
71908;brasilia; Distrito Federal
72300;brasilia; Distrito Federal
88805;criciuma; Santa Catarina
29830;nova venecia; Espirito Santo
99010;passo fundo;Rio Grande do Sul
2230;sao paulo; Sao Paulo
38400;uberlandia; Minas Gerais
6386;carapicuiba; Sao Paulo
20780;rio de janeiro;Rio de Janeiro
38950;ibia; Minas Gerais
74986;aparecida de goiania; Goias
1310;sao paulo; Sao Paulo
11045;santos; Sao Paulo
36900;manhuacu; Minas Gerais
13178;sumare; Sao Paulo
68371;altamira; Para
74423;goiania; Goias
22231;rio de janeiro;Rio de Janeiro
88110;sao jose; Santa Catarina
3718;sao paulo; Sao Paulo
28495;aperibe;Rio de Janeiro
11320;sao vicente; Sao Paulo
16010;aracatuba; Sao Paulo
78015;cuiaba; Mato Grosso
92320;canoas;Rio Grande do Sul
31330;belo horizonte; Minas Gerais
5093;sao paulo; Sao Paulo
30441;belo horizonte; Minas Gerais
11547;cubatao; Sao Paulo
87030;maringa;Parana
3923;sao paulo; Sao Paulo
13232;campo limpo paulista; Sao Paulo
86181;cambe;Parana
8576;itaquaquecetuba; Sao Paulo
9551;sao caetano do sul; Sao Paulo
12243;sao jose dos campos; Sao Paulo
5894;sao paulo; Sao Paulo
3574;sao paulo; Sao Paulo
39404;montes claros; Minas Gerais
40323;salvador; Bahia
30240;belo horizonte; Minas Gerais
24240;niteroi;Rio de Janeiro
7020;guarulhos; Sao Paulo
5596;sao paulo; Sao Paulo
35935;sao goncalo do rio abaixo; Minas Gerais
86600;rolandia;Parana
37410;tres coracoes; Minas Gerais
96570;cacapava do sul;Rio Grande do Sul
1424;sao paulo; Sao Paulo
1537;sao paulo; Sao Paulo
14050;ribeirao preto; Sao Paulo
24722;sao goncalo;Rio de Janeiro
36680;sao joao nepomuceno; Minas Gerais
6722;cotia; Sao Paulo
92035;canoas;Rio Grande do Sul
22451;rio de janeiro;Rio de Janeiro
74160;goiania; Goias
13610;leme; Sao Paulo
13600;araras; Sao Paulo
13201;jundiai; Sao Paulo
55525;cortes; Pernambuco
35164;ipatinga; Minas Gerais
3183;sao paulo; Sao Paulo
14051;ribeirao preto; Sao Paulo
88351;brusque; Santa Catarina
60055;fortaleza; Ceara
95780;montenegro;Rio Grande do Sul
76630;itaberai; Goias
12413;pindamonhangaba; Sao Paulo
72620;brasilia; Distrito Federal
14270;santa rosa de viterbo; Sao Paulo
73780;agua fria de goias; Goias
99150;marau;Rio Grande do Sul
35790;curvelo; Minas Gerais
24060;niteroi;Rio de Janeiro
36080;juiz de fora; Minas Gerais
13843;mogi-guacu; Sao Paulo
24350;niteroi;Rio de Janeiro
8150;sao paulo; Sao Paulo
2559;sao paulo; Sao Paulo
3755;sao paulo; Sao Paulo
1227;sao paulo; Sao Paulo
6286;osasco; Sao Paulo
4001;sao paulo; Sao Paulo
12503;guaratingueta; Sao Paulo
9895;sao bernardo do campo; Sao Paulo
83209;paranagua;Parana
16403;lins; Sao Paulo
4401;sao paulo; Sao Paulo
93700;campo bom;Rio Grande do Sul
14170;sertaozinho; Sao Paulo
2846;sao paulo; Sao Paulo
79640;tres lagoas; Mato Grosso do Sul
6765;taboao da serra; Sao Paulo
32044;contagem; Minas Gerais
9250;santo andre; Sao Paulo
4160;sao paulo; Sao Paulo
17208;jau; Sao Paulo
81250;curitiba;Parana
88106;sao jose; Santa Catarina
78307;campos de julio; Mato Grosso
28999;saquarema;Rio de Janeiro
9530;sao caetano do sul; Sao Paulo
13160;artur nogueira; Sao Paulo
48950;uaua; Bahia
4342;sao paulo; Sao Paulo
6624;jandira; Sao Paulo
30431;belo horizonte; Minas Gerais
4182;sao paulo; Sao Paulo
4862;sao paulo; Sao Paulo
13275;valinhos; Sao Paulo
89705;concordia; Santa Catarina
28625;nova friburgo;Rio de Janeiro
18051;sorocaba; Sao Paulo
20550;rio de janeiro;Rio de Janeiro
35430;ponte nova; Minas Gerais
89245;araquari; Santa Catarina
12233;sao jose dos campos; Sao Paulo
36881;muriae; Minas Gerais
2302;sao paulo; Sao Paulo
6455;barueri; Sao Paulo
9061;santo andre; Sao Paulo
88372;navegantes; Santa Catarina
34004;nova lima; Minas Gerais
75400;inhumas; Goias
28250;italva;Rio de Janeiro
2082;sao paulo; Sao Paulo
25802;tres rios;Rio de Janeiro
26185;belford roxo;Rio de Janeiro
97030;santa maria;Rio Grande do Sul
45585;itagiba; Bahia
88054;florianopolis; Santa Catarina
4717;sao paulo; Sao Paulo
38600;paracatu; Minas Gerais
22410;rio de janeiro;Rio de Janeiro
82310;curitiba;Parana
22753;rio de janeiro;Rio de Janeiro
89825;xaxim; Santa Catarina
20540;rio de janeiro;Rio de Janeiro
85301;laranjeiras do sul;Parana
4704;sao paulo; Sao Paulo
8080;sao paulo; Sao Paulo
62740;itapiuna; Ceara
8072;sao paulo; Sao Paulo
7143;guarulhos; Sao Paulo
13050;campinas; Sao Paulo
52120;recife; Pernambuco
14055;ribeirao preto; Sao Paulo
4772;sao paulo; Sao Paulo
13403;piracicaba; Sao Paulo
73808;formosa; Goias
88058;florianopolis; Santa Catarina
24315;niteroi;Rio de Janeiro
13400;piracicaba; Sao Paulo
2365;sao paulo; Sao Paulo
3562;sao paulo; Sao Paulo
16202;birigui; Sao Paulo
93900;ivoti;Rio Grande do Sul
41820;salvador; Bahia
48903;juazeiro; Bahia
84025;ponta grossa;Parana
58407;campina grande; Paraiba
22280;rio de janeiro;Rio de Janeiro
6140;osasco; Sao Paulo
6056;osasco; Sao Paulo
18110;votorantim; Sao Paulo
4561;sao paulo; Sao Paulo
9321;maua; Sao Paulo
56000;salgueiro; Pernambuco
12246;sao jose dos campos; Sao Paulo
20011;rio de janeiro;Rio de Janeiro
12604;lorena; Sao Paulo
3546;sao paulo; Sao Paulo
24750;sao goncalo;Rio de Janeiro
11432;guaruja; Sao Paulo
26083;nova iguacu;Rio de Janeiro
2114;sao paulo; Sao Paulo
60834;fortaleza; Ceara
85910;toledo;Parana
24360;niteroi;Rio de Janeiro
28943;sao pedro da aldeia;Rio de Janeiro
81670;curitiba;Parana
9861;sao bernardo do campo; Sao Paulo
22631;rio de janeiro;Rio de Janeiro
22783;rio de janeiro;Rio de Janeiro
75265;vianopolis; Goias
57311;arapiraca; Alagoas
45810;porto seguro; Bahia
27251;volta redonda;Rio de Janeiro
1536;sao paulo; Sao Paulo
1455;sao paulo; Sao Paulo
81540;curitiba;Parana
24724;sao goncalo;Rio de Janeiro
6114;osasco; Sao Paulo
1224;sao paulo; Sao Paulo
26265;nova iguacu;Rio de Janeiro
6454;barueri; Sao Paulo
76875;ariquemes; Rondonia
89150;presidente getulio; Santa Catarina
72548;brasilia; Distrito Federal
31872;belo horizonte; Minas Gerais
88052;florianopolis; Santa Catarina
83880;rio negro;Parana
32260;contagem; Minas Gerais
95050;caxias do sul;Rio Grande do Sul
91370;porto alegre;Rio Grande do Sul
60135;fortaleza; Ceara
20270;rio de janeiro;Rio de Janeiro
97110;santa maria;Rio Grande do Sul
21810;rio de janeiro;Rio de Janeiro
4649;sao paulo; Sao Paulo
17209;jau; Sao Paulo
51021;recife; Pernambuco
23059;rio de janeiro;Rio de Janeiro
9415;ribeirao pires; Sao Paulo
55565;sao jose da coroa grande; Pernambuco
29820;agua doce do norte; Espirito Santo
9850;sao bernardo do campo; Sao Paulo
75083;anapolis; Goias
16700;guararapes; Sao Paulo
25650;petropolis;Rio de Janeiro
3122;sao paulo; Sao Paulo
8671;suzano; Sao Paulo
95170;farroupilha;Rio Grande do Sul
9361;maua; Sao Paulo
23076;rio de janeiro;Rio de Janeiro
12281;cacapava; Sao Paulo
39900;almenara; Minas Gerais
28893;rio das ostras;Rio de Janeiro
94080;gravatai;Rio Grande do Sul
51030;recife; Pernambuco
46100;brumado; Bahia
5577;sao paulo; Sao Paulo
30380;belo horizonte; Minas Gerais
8235;sao paulo; Sao Paulo
22755;rio de janeiro;Rio de Janeiro
28051;campos dos goytacazes;Rio de Janeiro
17512;marilia; Sao Paulo
35900;itabira; Minas Gerais
18070;sorocaba; Sao Paulo
23040;rio de janeiro;Rio de Janeiro
4617;sao paulo; Sao Paulo
78540;claudia; Mato Grosso
88045;florianopolis; Santa Catarina
21240;rio de janeiro;Rio de Janeiro
7072;guarulhos; Sao Paulo
9531;sao caetano do sul; Sao Paulo
30881;belo horizonte; Minas Gerais
22780;rio de janeiro;Rio de Janeiro
2452;sao paulo; Sao Paulo
35660;para de minas; Minas Gerais
14530;miguelopolis; Sao Paulo
14745;terra roxa; Sao Paulo
13140;paulinia; Sao Paulo
38442;araguari; Minas Gerais
32145;contagem; Minas Gerais
22775;rio de janeiro;Rio de Janeiro
12288;cacapava; Sao Paulo
88505;lages; Santa Catarina
72210;brasilia; Distrito Federal
23090;rio de janeiro;Rio de Janeiro
6824;embu das artes; Sao Paulo
28997;saquarema;Rio de Janeiro
21550;rio de janeiro;Rio de Janeiro
13482;limeira; Sao Paulo
92425;canoas;Rio Grande do Sul
3805;sao paulo; Sao Paulo
15010;sao jose do rio preto; Sao Paulo
12081;taubate; Sao Paulo
15775;santa fe do sul; Sao Paulo
7700;caieiras; Sao Paulo
3575;sao paulo; Sao Paulo
23810;itaguai;Rio de Janeiro
36800;carangola; Minas Gerais
39648;chapada do norte; Minas Gerais
13063;campinas; Sao Paulo
87900;loanda;Parana
27470;passa tres;Rio de Janeiro
18190;aracoiaba da serra; Sao Paulo
26022;nova iguacu;Rio de Janeiro
91751;porto alegre;Rio Grande do Sul
29305;cachoeiro de itapemirim; Espirito Santo
24812;itaborai;Rio de Janeiro
36047;juiz de fora; Minas Gerais
13486;limeira; Sao Paulo
29090;vitoria; Espirito Santo
20230;rio de janeiro;Rio de Janeiro
3429;sao paulo; Sao Paulo
89280;sao bento do sul; Santa Catarina
26013;nova iguacu;Rio de Janeiro
13339;indaiatuba; Sao Paulo
96211;rio grande;Rio Grande do Sul
95097;caxias do sul;Rio Grande do Sul
18550;boituva; Sao Paulo
25963;teresopolis;Rio de Janeiro
12995;pinhalzinho; Sao Paulo
56312;petrolina; Pernambuco
3178;sao paulo; Sao Paulo
59063;natal;Rio Grande do Norte
80230;curitiba;Parana
1526;sao paulo; Sao Paulo
8431;sao paulo; Sao Paulo
47800;barreiras; Bahia
13845;mogi-guacu; Sao Paulo
4313;sao paulo; Sao Paulo
88085;florianopolis; Santa Catarina
39480;januaria; Minas Gerais
27170;ipiabas;Rio de Janeiro
76105;firminopolis; Goias
89227;joinville; Santa Catarina
20530;rio de janeiro;Rio de Janeiro
6414;barueri; Sao Paulo
13733;mococa; Sao Paulo
30882;belo horizonte; Minas Gerais
4297;sao paulo; Sao Paulo
23058;rio de janeiro;Rio de Janeiro
85139;vitoria;Parana
29057;vitoria; Espirito Santo
27600;valenca;Rio de Janeiro
89900;sao miguel do oeste; Santa Catarina
26210;nova iguacu;Rio de Janeiro
14405;franca; Sao Paulo
3423;sao paulo; Sao Paulo
9614;sao bernardo do campo; Sao Paulo
13840;mogi-guacu; Sao Paulo
2410;sao paulo; Sao Paulo
13346;indaiatuba; Sao Paulo
5021;sao paulo; Sao Paulo
1008;sao paulo; Sao Paulo
12945;atibaia; Sao Paulo
39401;montes claros; Minas Gerais
71907;brasilia; Distrito Federal
84061;ponta grossa;Parana
13635;pirassununga; Sao Paulo
15700;jales; Sao Paulo
25585;sao joao de meriti;Rio de Janeiro
50960;recife; Pernambuco
2374;sao paulo; Sao Paulo
55570;rio formoso; Pernambuco
31975;belo horizonte; Minas Gerais
20040;rio de janeiro;Rio de Janeiro
2804;sao paulo; Sao Paulo
20775;rio de janeiro;Rio de Janeiro
71720;brasilia; Distrito Federal
23906;angra dos reis;Rio de Janeiro
29026;vitoria; Espirito Santo
71915;brasilia; Distrito Federal
5108;sao paulo; Sao Paulo
29240;alfredo chaves; Espirito Santo
29055;vitoria; Espirito Santo
22461;rio de janeiro;Rio de Janeiro
3254;sao paulo; Sao Paulo
45700;itapetinga; Bahia
8081;sao paulo; Sao Paulo
77440;gurupi; Tocantins
31170;belo horizonte; Minas Gerais
86188;cambe;Parana
54315;jaboatao dos guararapes; Pernambuco
1044;sao paulo; Sao Paulo
48967;nucleo residencial pilar; Bahia
11070;santos; Sao Paulo
41630;salvador; Bahia
38550;coromandel; Minas Gerais
13515;charqueada; Sao Paulo
6283;osasco; Sao Paulo
37975;itau de minas; Minas Gerais
4809;sao paulo; Sao Paulo
98200;ibiruba;Rio Grande do Sul
11250;bertioga; Sao Paulo
71250;brasilia; Distrito Federal
32115;contagem; Minas Gerais
45570;ipiau; Bahia
13485;limeira; Sao Paulo
2443;sao paulo; Sao Paulo
17205;jau; Sao Paulo
35720;matozinhos; Minas Gerais
27213;volta redonda;Rio de Janeiro
80620;curitiba;Parana
64053;teresina; Piaui
5782;sao paulo; Sao Paulo
31748;belo horizonte; Minas Gerais
48180;entre rios; Bahia
6600;jandira; Sao Paulo
2418;sao paulo; Sao Paulo
78320;juina; Mato Grosso
35502;divinopolis; Minas Gerais
91160;porto alegre;Rio Grande do Sul
7600;mairipora; Sao Paulo
21660;rio de janeiro;Rio de Janeiro
8381;sao paulo; Sao Paulo
64017;teresina; Piaui
85960;marechal candido rondon;Parana
18111;votorantim; Sao Paulo
9840;sao bernardo do campo; Sao Paulo
8240;sao paulo; Sao Paulo
29046;vitoria; Espirito Santo
7862;franco da rocha; Sao Paulo
30290;belo horizonte; Minas Gerais
6708;cotia; Sao Paulo
18707;avare; Sao Paulo
9627;sao bernardo do campo; Sao Paulo
20020;rio de janeiro;Rio de Janeiro
74920;aparecida de goiania; Goias
15460;icem; Sao Paulo
75064;anapolis; Goias
11618;sao sebastiao; Sao Paulo
18135;sao roque; Sao Paulo
29160;serra; Espirito Santo
15130;mirassol; Sao Paulo
62106;taperuaba; Ceara
18013;sorocaba; Sao Paulo
2616;sao paulo; Sao Paulo
6381;carapicuiba; Sao Paulo
37137;alfenas; Minas Gerais
9280;santo andre; Sao Paulo
36700;leopoldina; Minas Gerais
71571;brasilia; Distrito Federal
13871;sao joao da boa vista; Sao Paulo
8451;sao paulo; Sao Paulo
4171;sao paulo; Sao Paulo
36504;uba; Minas Gerais
59152;parnamirim;Rio Grande do Norte
45986;teixeira de freitas; Bahia
12940;atibaia; Sao Paulo
91550;porto alegre;Rio Grande do Sul
5352;sao paulo; Sao Paulo
58011;joao pessoa; Paraiba
36110;chacara; Minas Gerais
29290;rio novo do sul; Espirito Santo
20031;rio de janeiro;Rio de Janeiro
30170;belo horizonte; Minas Gerais
30690;belo horizonte; Minas Gerais
64020;teresina; Piaui
3959;sao paulo; Sao Paulo
26125;belford roxo;Rio de Janeiro
99200;guapore;Rio Grande do Sul
69918;rio branco;Acre
38413;uberlandia; Minas Gerais
8536;ferraz de vasconcelos; Sao Paulo
91781;porto alegre;Rio Grande do Sul
65067;sao luis; Maranhao
6786;taboao da serra; Sao Paulo
81270;curitiba;Parana
87043;maringa;Parana
88430;petrolandia; Santa Catarina
7080;guarulhos; Sao Paulo
24358;niteroi;Rio de Janeiro
22460;rio de janeiro;Rio de Janeiro
74973;aparecida de goiania; Goias
74435;goiania; Goias
13208;jundiai; Sao Paulo
6270;osasco; Sao Paulo
87260;araruna;Parana
55644;gravata; Pernambuco
20720;rio de janeiro;Rio de Janeiro
29500;alegre; Espirito Santo
86055;londrina;Parana
5798;sao paulo; Sao Paulo
48970;senhor do bonfim; Bahia
9750;sao bernardo do campo; Sao Paulo
6540;santana de parnaiba; Sao Paulo
17490;piratininga; Sao Paulo
31741;belo horizonte; Minas Gerais
90440;porto alegre;Rio Grande do Sul
57071;maceio; Alagoas
25025;duque de caxias;Rio de Janeiro
88056;florianopolis; Santa Catarina
4545;sao paulo; Sao Paulo
17207;jau; Sao Paulo
1131;sao paulo; Sao Paulo
38500;monte carmelo; Minas Gerais
5124;sao paulo; Sao Paulo
74936;aparecida de goiania; Goias
12946;atibaia; Sao Paulo
84450;ipiranga;Parana
31310;belo horizonte; Minas Gerais
12030;taubate; Sao Paulo
4295;sao paulo; Sao Paulo
